,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
122,"[18, 28, 36]",14756,cn,葉問,10.23,2010-10-01,Ip Man,7.7,1906,"['Drama', 'Action', 'History']",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
123,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,Killers,5.8,1314,"['Action', 'Comedy', 'Thriller', 'Romance']",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
124,"[35, 10749]",38303,en,You Again,10.208,2010-09-24,You Again,6.2,734,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,"[27, 9648, 53]",44040,en,Devil,10.203,2010-09-17,Devil,5.9,1516,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
126,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,The Losers,6.2,844,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
127,"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399,"['Drama', 'Thriller', 'Crime', 'Mystery']",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
128,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797,"['Drama', 'Crime']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,"[18, 53, 878]",43933,en,Monsters,10.175,2010-10-29,Monsters,6.2,848,"['Drama', 'Thriller', 'Science Fiction']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
130,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383,"['Science Fiction', 'Comedy', 'Adventure']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,"[16, 35, 10751, 80, 9648]",14447,en,A Matter of Loaf and Death,10.1,2010-02-19,A Matter of Loaf and Death,7.2,219,"['Animation', 'Comedy', 'Family', 'Crime', 'Mystery']",0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
132,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,Love & Other Drugs,6.9,2509,"['Drama', 'Comedy', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
133,"[14, 18, 10751]",40205,en,16 Wishes,10.068,2010-06-25,16 Wishes,5.9,688,"['Fantasy', 'Drama', 'Family']",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
134,"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,2010-09-15,Never Let Me Go,6.8,1294,"['Drama', 'Romance', 'Science Fiction']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
135,"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,[18],38167,en,Eat Pray Love,9.991,2010-08-12,Eat Pray Love,6.0,1208,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,Sex and the City 2,5.9,809,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
138,"[35, 80, 18]",37495,en,Four Lions,9.968,2010-11-05,Four Lions,7.0,621,"['Comedy', 'Crime', 'Drama']",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,"[35, 14, 10749]",13477,en,When in Rome,9.926,2010-01-29,When in Rome,5.9,703,"['Comedy', 'Fantasy', 'Romance']",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,The Bounty Hunter,5.7,1627,"['Action', 'Comedy', 'Drama']",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,[18],39013,en,Winter's Bone,9.824,2010-06-11,Winter's Bone,6.9,931,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,"[18, 10749]",52338,en,Waiting for Forever,9.818999999999999,2010-02-10,Waiting for Forever,5.7,172,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
143,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,2010-10-08,My Soul to Take,5.4,247,"['Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
144,"[27, 9648, 53]",23437,en,A Nightmare on Elm Street,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
145,"[10749, 18]",43949,en,Flipped,9.781,2010-08-06,Flipped,7.4,859,"['Romance', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
146,"[18, 27, 9648]",41402,en,Let Me In,9.716000000000001,2010-10-01,Let Me In,6.7,1061,"['Drama', 'Horror', 'Mystery']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
147,"[18, 53]",38199,en,Unthinkable,9.693,2010-06-15,Unthinkable,6.7,623,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
148,[53],44363,en,Frozen,9.677999999999999,2010-02-05,Frozen,5.8,987,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,"[28, 35, 80, 53]",29564,en,Smokin' Aces 2: Assassins' Ball,9.565,2010-01-19,Smokin' Aces 2: Assassins' Ball,5.4,141,"['Action', 'Comedy', 'Crime', 'Thriller']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,"[14, 18]",34647,en,Enter the Void,9.562999999999999,2010-09-24,Enter the Void,7.3,773,"['Fantasy', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
151,"[80, 27]",55890,en,Bereavement,9.55,2010-07-16,Bereavement,5.3,71,"['Crime', 'Horror']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,[99],44639,en,Inside Job,9.514,2010-10-08,Inside Job,7.8,466,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"[80, 53]",101669,en,Mother's Day,9.496,2010-09-23,Mother's Day,6.4,193,"['Crime', 'Thriller']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,"[27, 53]",7340,en,Carrie,9.467,1976-11-03,Carrie,7.1,1766,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
155,"[18, 10749]",37950,en,Charlie St. Cloud,9.454,2010-05-01,Charlie St. Cloud,6.9,1398,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
156,"[35, 10751]",35169,en,Furry Vengeance,9.45,2010-04-02,Furry Vengeance,4.6,283,"['Comedy', 'Family']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,"[80, 35, 18]",45324,en,Casino Jack,9.432,2010-12-17,Casino Jack,6.1,149,"['Crime', 'Comedy', 'Drama']",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,"[35, 10749, 10770, 10402]",35558,en,Starstruck,9.406,2010-02-14,Starstruck,6.7,627,"['Comedy', 'Romance', 'TV Movie', 'Music']",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
159,"[10749, 35]",39285,en,Beauty & the Briefcase,9.405,2010-04-18,Beauty & the Briefcase,5.5,250,"['Romance', 'Comedy']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,"[18, 27, 9648, 53]",36419,en,After.Life,9.395,2009-11-07,After.Life,5.7,416,"['Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
161,"[35, 18]",44009,en,Another Year,9.394,2010-12-29,Another Year,7.0,150,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
162,"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,2010-05-14,Letters to Juliet,6.9,1706,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
163,[18],27585,en,Rabbit Hole,9.389,2010-12-16,Rabbit Hole,6.8,292,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,"[28, 35]",44147,en,Wild Target,9.355,2010-10-29,Wild Target,6.4,356,"['Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"[27, 18, 53]",38358,en,The Last Exorcism,9.35,2010-08-27,The Last Exorcism,5.6,519,"['Horror', 'Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
166,"[53, 18]",43549,en,The Experiment,9.261000000000001,2010-07-15,The Experiment,6.5,553,"['Thriller', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
167,"[16, 10751, 35]",50135,de,Konferenz der Tiere,9.258,2010-10-07,Animals United,5.4,151,"['Animation', 'Family', 'Comedy']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,"[18, 28, 35, 53, 80]",26715,en,Bitch Slap,9.253,2010-01-08,Bitch Slap,4.7,148,"['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
169,"[10749, 35]",41211,fr,L'arnacoeur,9.241,2010-09-10,Heartbreaker,6.6,761,"['Romance', 'Comedy']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,"[18, 10751, 10749]",35690,en,The Last Song,9.237,2010-03-31,The Last Song,7.2,2199,"['Drama', 'Family', 'Romance']",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
171,[35],48415,it,Benvenuti al sud,9.187999999999999,2010-12-20,Welcome to the South,6.7,1071,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"[35, 27]",46838,en,Tucker and Dale vs. Evil,9.158999999999999,2010-01-22,Tucker and Dale vs. Evil,7.3,1427,"['Comedy', 'Horror']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
173,"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,2010-12-17,Yogi Bear,5.3,387,"['Comedy', 'Family', 'Animation', 'Adventure']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,"[80, 18, 53]",38542,en,The Disappearance of Alice Creed,9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
175,[18],36950,en,You Don't Know Jack,9.071,2010-04-14,You Don't Know Jack,7.0,176,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
176,[18],39486,en,Secretariat,9.059,2010-10-08,Secretariat,7.0,200,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177,"[80, 18, 53]",27579,en,The American,9.042,2010-09-01,The American,5.8,690,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
178,"[18, 10749]",46705,en,Blue Valentine,8.994,2010-12-29,Blue Valentine,6.9,1677,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
179,"[35, 27]",40264,en,Vampires Suck,8.992,2010-08-18,Vampires Suck,4.1,658,"['Comedy', 'Horror']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,"[18, 10752, 9648]",46738,fr,Incendies,8.972999999999999,2010-09-04,Incendies,8.1,1034,"['Drama', 'War', 'Mystery']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
181,"[28, 80, 18, 53]",22907,en,Takers,8.969,2010-08-26,Takers,6.2,605,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
182,"[16, 35, 878]",278604,en,"Family Guy Presents: Something, Something, Something, Dark Side",8.956,2010-05-23,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194,"['Animation', 'Comedy', 'Science Fiction']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,"[28, 12, 16, 10751, 878]",45162,en,Superman/Batman: Apocalypse,8.884,2010-09-28,Superman/Batman: Apocalypse,7.0,291,"['Action', 'Adventure', 'Animation', 'Family', 'Science Fiction']",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
184,"[878, 28]",42684,en,Skyline,8.847000000000001,2010-11-12,Skyline,4.8,833,"['Science Fiction', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185,"[28, 35, 80]",23742,en,Cop Out,8.82,2010-02-26,Cop Out,5.4,796,"['Action', 'Comedy', 'Crime']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"[18, 53, 9648]",28211,en,Chloe,8.807,2010-03-26,Chloe,5.9,940,"['Drama', 'Thriller', 'Mystery']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
187,"[18, 27, 878]",52015,en,Stake Land,8.799,2010-10-01,Stake Land,6.2,415,"['Drama', 'Horror', 'Science Fiction']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
188,"[10752, 18, 36, 28]",50618,ru,Брестская крепость,8.769,2010-11-11,Fortress of War,7.3,75,"['War', 'Drama', 'History', 'Action']",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
189,"[99, 10751]",59490,en,Cave of Forgotten Dreams,8.762,2010-11-03,Cave of Forgotten Dreams,7.3,143,"['Documentary', 'Family']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
190,"[12, 27, 53]",34480,en,The Descent: Part 2,8.741,2010-04-27,The Descent: Part 2,6.0,480,"['Adventure', 'Horror', 'Thriller']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
191,"[28, 12, 53]",44918,en,Titanic II,8.729,2010-08-24,Titanic 2,3.2,90,"['Action', 'Adventure', 'Thriller']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192,"[28, 12, 16, 27]",31967,en,Dante's Inferno: An Animated Epic,8.711,2010-02-09,Dante's Inferno: An Animated Epic,6.0,102,"['Action', 'Adventure', 'Animation', 'Horror']",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,"[28, 80, 53]",37645,fr,L'Immortel,8.697000000000001,2010-03-24,22 Bullets,6.5,508,"['Action', 'Crime', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,[99],39452,en,Exit Through the Gift Shop,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"[18, 10749]",48650,es,Habitación en Roma,8.682,2010-11-11,Room in Rome,6.1,236,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
196,"[18, 10749]",42297,en,Burlesque,8.676,2010-11-23,Burlesque,7.1,1195,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
197,"[35, 18]",56272,en,Elektra Luxx,8.595,2010-03-14,Elektra Luxx,4.9,74,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,"[18, 53, 80]",68341,ja,冷たい熱帯魚,8.582,2010-07-05,Cold Fish,6.6,113,"['Drama', 'Thriller', 'Crime']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
199,"[14, 18, 27, 10749]",52587,de,Wir sind die Nacht,8.57,2010-11-11,We Are the Night,6.2,129,"['Fantasy', 'Drama', 'Horror', 'Romance']",0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
200,"[18, 10749]",56743,en,Elena Undone,8.531,2010-06-25,Elena Undone,7.2,81,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
201,"[53, 27]",34583,en,The Final,8.517000000000001,2010-01-28,The Final,5.6,131,"['Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
202,"[27, 35, 53]",43919,en,Hatchet II,8.513,2010-10-01,Hatchet II,5.5,160,"['Horror', 'Comedy', 'Thriller']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
203,[35],45523,en,Louis C.K.: Hilarious,8.504,2010-01-26,Louis C.K.: Hilarious,8.0,127,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"[80, 53, 35, 9648]",27004,en,Ca$h,8.503,2010-01-01,Ca$h,5.8,112,"['Crime', 'Thriller', 'Comedy', 'Mystery']",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
205,"[10751, 35]",38579,en,Marmaduke,8.487,2010-06-04,Marmaduke,5.1,367,"['Family', 'Comedy']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,[35],32823,en,Get Him to the Greek,8.485,2010-06-04,Get Him to the Greek,5.9,980,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"[10749, 878]",59457,en,Womb,8.482999999999999,2010-07-15,Womb,6.1,159,"['Romance', 'Science Fiction']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
208,"[18, 80]",48838,en,London Boulevard,8.469,2010-11-12,London Boulevard,5.9,409,"['Drama', 'Crime']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,"[53, 18, 28, 80]",40720,en,Twelve,8.46,2010-07-30,Twelve,5.9,147,"['Thriller', 'Drama', 'Action', 'Crime']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
210,"[14, 18, 28, 53, 16]",71883,ja,レドライン,8.436,2010-09-23,Redline,7.4,110,"['Fantasy', 'Drama', 'Action', 'Thriller', 'Animation']",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
211,"[35, 18]",39781,en,The Kids Are All Right,8.426,2010-07-09,The Kids Are All Right,6.6,854,"['Comedy', 'Drama']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,"[28, 12, 14, 27]",12685,en,BloodRayne: The Third Reich,8.419,2010-11-05,BloodRayne: The Third Reich,3.7,83,"['Action', 'Adventure', 'Fantasy', 'Horror']",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
213,"[9648, 53]",11761,it,Peacock,8.414,2010-04-20,Peacock,6.1,104,"['Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
214,"[14, 27, 53]",46261,en,Don't Be Afraid of the Dark,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550,"['Fantasy', 'Horror', 'Thriller']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
215,"[16, 18]",41201,fr,L'illusionniste,8.404,2010-12-25,The Illusionist,7.4,280,"['Animation', 'Drama']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,"[18, 53]",44113,en,Stone,8.401,2010-10-22,Stone,5.2,334,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
217,[18],31007,en,Welcome to the Rileys,8.347999999999999,2010-10-29,Welcome to the Rileys,6.5,241,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218,"[35, 18, 14, 27, 9648]",45649,en,Rubber,8.318999999999999,2010-09-01,Rubber,5.9,417,"['Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery']",0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
219,"[53, 28, 18]",30618,en,Bunraku,8.282,2010-09-01,Bunraku,5.9,161,"['Thriller', 'Action', 'Drama']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
220,"[35, 18, 10749]",38073,en,Going the Distance,8.281,2010-09-03,Going the Distance,6.0,394,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
221,"[27, 53]",52274,es,Los ojos de Julia,8.267999999999999,2010-10-29,Julia's Eyes,6.7,415,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
222,"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,2010-12-03,The Warrior's Way,6.1,203,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
223,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,Last Night,6.1,444,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
224,"[35, 18, 9648]",44718,en,Get Low,8.215,2010-01-22,Get Low,6.7,135,"['Comedy', 'Drama', 'Mystery']",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
225,"[35, 18, 10749]",40794,it,Mine vaganti,8.202,2010-04-28,Loose Cannons,7.4,310,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
226,"[18, 10402]",27586,en,The Runaways,8.19,2010-03-19,The Runaways,6.4,448,"['Drama', 'Music']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
227,"[18, 10749]",51736,en,Bloomington,8.176,2010-06-23,Bloomington,6.6,65,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
228,"[27, 53]",41436,en,Paranormal Activity 2,8.163,2010-10-21,Paranormal Activity 2,5.7,1342,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
229,"[12, 16, 10751, 35]",43956,en,Tom and Jerry Meet Sherlock Holmes,8.142000000000001,2010-08-24,Tom and Jerry Meet Sherlock Holmes,6.6,19,"['Adventure', 'Animation', 'Family', 'Comedy']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,"[18, 28, 53, 80]",13635,fr,L'Instinct de mort,8.131,2010-08-27,Mesrine: Killer Instinct,7.4,434,"['Drama', 'Action', 'Thriller', 'Crime']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
231,"[28, 27, 878]",52454,en,Mega Shark vs. Crocosaurus,8.129,2010-12-21,Mega Shark vs. Crocosaurus,2.7,60,"['Action', 'Horror', 'Science Fiction']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
232,"[16, 18, 878, 53]",36800,en,Metropia,8.113,2010-05-12,Metropia,6.3,82,"['Animation', 'Drama', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
233,[18],44129,en,The Company Men,8.109,2010-10-21,The Company Men,6.6,349,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,"[16, 10751, 35, 12, 10749]",12819,en,Alpha and Omega,8.107999999999999,2010-09-17,Alpha and Omega,5.4,227,"['Animation', 'Family', 'Comedy', 'Adventure', 'Romance']",0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
235,"[10770, 18, 10751, 14]",50479,en,Avalon High,8.097999999999999,2010-11-12,Avalon High,6.1,313,"['TV Movie', 'Drama', 'Family', 'Fantasy']",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
236,"[27, 53]",42941,en,30 Days of Night: Dark Days,8.086,2010-10-05,30 Days of Night: Dark Days,4.7,218,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
237,"[16, 35, 10751]",54559,en,Minions: Orientation Day,8.052999999999999,2010-12-13,Minions: Orientation Day,6.9,117,"['Animation', 'Comedy', 'Family']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,"[16, 28, 878]",30675,en,Planet Hulk,8.052999999999999,2010-02-02,Planet Hulk,6.7,185,"['Animation', 'Action', 'Science Fiction']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
239,"[18, 53]",44982,en,13,8.007,2010-03-12,13,5.7,392,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
240,"[27, 878]",29426,en,Survival of the Dead,7.9639999999999995,2010-05-28,Survival of the Dead,4.8,199,"['Horror', 'Science Fiction']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
241,[18],53399,it,La solitudine dei numeri primi,7.959,2010-10-10,The Solitude of Prime Numbers,5.8,218,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,"[18, 28, 53]",34179,zh,錦衣衛,7.9479999999999995,2010-02-04,14 Blades,6.6,87,"['Drama', 'Action', 'Thriller']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
243,"[10751, 16]",44874,en,Barbie: A Fashion Fairytale,7.947,2010-09-14,Barbie: A Fashion Fairytale,6.8,228,"['Family', 'Animation']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,"[27, 35, 878, 53, 10770, 28]",46020,en,Sharktopus,7.943,2010-09-25,Sharktopus,4.4,69,"['Horror', 'Comedy', 'Science Fiction', 'Thriller', 'TV Movie', 'Action']",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
245,"[18, 27, 53]",39957,en,Burning Bright,7.938,2010-08-17,Burning Bright,6.0,113,"['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
246,"[18, 14]",44603,en,Hereafter,7.886,2010-10-22,Hereafter,5.9,848,"['Drama', 'Fantasy']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
247,"[18, 9648, 53, 80, 10749]",46503,en,All Good Things,7.871,2010-12-03,All Good Things,6.0,493,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Romance']",0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
248,"[18, 28, 35, 80]",34769,en,Defendor,7.8629999999999995,2010-02-26,Defendor,6.4,295,"['Drama', 'Action', 'Comedy', 'Crime']",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
